domanID,siteID,namedLocation,domainName,flightbxID,aop_site_id,sitetype,YearSiteVisit,FlightDate,year,flightdate
D05,CRAM,CRAM.AOS.buoy.c1,Great Lakes,D05_UNDE_C1_P1_v1,UNDE,buoy.c1,2016_UNDE_1,2016090214,2016,2016-09-02
D05,CRAM,CRAM.AOS.buoy.c1,Great Lakes,D05_UNDE_C1_P1_v1,UNDE,buoy.c1,2017_UNDE_2,2017091214,2017,2017-09-12
D05,CRAM,CRAM.AOS.buoy.c1,Great Lakes,D05_UNDE_C1_P1_v1,UNDE,buoy.c1,2017_UNDE_2,2017090118,2017,2017-09-01
D05,CRAM,CRAM.AOS.buoy.c1,Great Lakes,D05_UNDE_C1_P1_v1,UNDE,buoy.c1,2019_UNDE_3,2019060617,2019,2019-06-06
D05,CRAM,CRAM.AOS.buoy.c1,Great Lakes,D05_UNDE_C1_P1_v1,UNDE,buoy.c1,2019_UNDE_3,2019060813,2019,2019-06-08
D05,CRAM,CRAM.AOS.buoy.c1,Great Lakes,D05_UNDE_C1_P1_v1,UNDE,buoy.c1,2020_UNDE_4,2020080613,2020,2020-08-06
D05,CRAM,CRAM.AOS.buoy.c1,Great Lakes,D05_UNDE_C1_P1_v1,UNDE,buoy.c1,2020_UNDE_4,2020081115,2020,2020-08-11
D05,CRAM,CRAM.AOS.buoy.c2,Great Lakes,D05_UNDE_C1_P1_v1,UNDE,buoy.c2,2016_UNDE_1,2016090214,2016,2016-09-02
D05,CRAM,CRAM.AOS.buoy.c2,Great Lakes,D05_UNDE_C1_P1_v1,UNDE,buoy.c2,2017_UNDE_2,2017091214,2017,2017-09-12
D05,CRAM,CRAM.AOS.buoy.c2,Great Lakes,D05_UNDE_C1_P1_v1,UNDE,buoy.c2,2017_UNDE_2,2017090118,2017,2017-09-01
D05,CRAM,CRAM.AOS.buoy.c2,Great Lakes,D05_UNDE_C1_P1_v1,UNDE,buoy.c2,2019_UNDE_3,2019060617,2019,2019-06-06
D05,CRAM,CRAM.AOS.buoy.c2,Great Lakes,D05_UNDE_C1_P1_v1,UNDE,buoy.c2,2019_UNDE_3,2019060813,2019,2019-06-08
D05,CRAM,CRAM.AOS.buoy.c2,Great Lakes,D05_UNDE_C1_P1_v1,UNDE,buoy.c2,2020_UNDE_4,2020080613,2020,2020-08-06
D05,CRAM,CRAM.AOS.buoy.c2,Great Lakes,D05_UNDE_C1_P1_v1,UNDE,buoy.c2,2020_UNDE_4,2020081115,2020,2020-08-11
D05,CRAM,CRAM.AOS.buoy.c0,Great Lakes,D05_UNDE_C1_P1_v1,UNDE,buoy.c0,2016_UNDE_1,2016090214,2016,2016-09-02
D05,CRAM,CRAM.AOS.buoy.c0,Great Lakes,D05_UNDE_C1_P1_v1,UNDE,buoy.c0,2017_UNDE_2,2017091214,2017,2017-09-12
D05,CRAM,CRAM.AOS.buoy.c0,Great Lakes,D05_UNDE_C1_P1_v1,UNDE,buoy.c0,2017_UNDE_2,2017090118,2017,2017-09-01
D05,CRAM,CRAM.AOS.buoy.c0,Great Lakes,D05_UNDE_C1_P1_v1,UNDE,buoy.c0,2019_UNDE_3,2019060617,2019,2019-06-06
D05,CRAM,CRAM.AOS.buoy.c0,Great Lakes,D05_UNDE_C1_P1_v1,UNDE,buoy.c0,2019_UNDE_3,2019060813,2019,2019-06-08
D05,CRAM,CRAM.AOS.buoy.c0,Great Lakes,D05_UNDE_C1_P1_v1,UNDE,buoy.c0,2020_UNDE_4,2020080613,2020,2020-08-06
D05,CRAM,CRAM.AOS.buoy.c0,Great Lakes,D05_UNDE_C1_P1_v1,UNDE,buoy.c0,2020_UNDE_4,2020081115,2020,2020-08-11
D05,LIRO,LIRO.AOS.outlet,Great Lakes,D05_LIRO_A1_P2_v1,LIRO,outlet,2017_LIRO_1,2017091117,2017,2017-09-11
D05,LIRO,LIRO.AOS.outlet,Great Lakes,D05_LIRO_A1_P2_v1,LIRO,outlet,2020_LIRO_2,2020081614,2020,2020-08-16
D05,LIRO,LIRO.AOS.inlet,Great Lakes,D05_LIRO_A1_P2_v1,LIRO,inlet,2017_LIRO_1,2017091117,2017,2017-09-11
D05,LIRO,LIRO.AOS.inlet,Great Lakes,D05_LIRO_A1_P2_v1,LIRO,inlet,2020_LIRO_2,2020081614,2020,2020-08-16
D05,LIRO,LIRO.AOS.buoy.c0,Great Lakes,D05_LIRO_A1_P2_v1,LIRO,buoy.c0,2017_LIRO_1,2017091117,2017,2017-09-11
D05,LIRO,LIRO.AOS.buoy.c0,Great Lakes,D05_LIRO_A1_P2_v1,LIRO,buoy.c0,2020_LIRO_2,2020081614,2020,2020-08-16
D05,LIRO,LIRO.AOS.buoy.c1,Great Lakes,D05_LIRO_A1_P2_v1,LIRO,buoy.c1,2017_LIRO_1,2017091117,2017,2017-09-11
D05,LIRO,LIRO.AOS.buoy.c1,Great Lakes,D05_LIRO_A1_P2_v1,LIRO,buoy.c1,2020_LIRO_2,2020081614,2020,2020-08-16
D05,LIRO,LIRO.AOS.buoy.c2,Great Lakes,D05_LIRO_A1_P2_v1,LIRO,buoy.c2,2017_LIRO_1,2017091117,2017,2017-09-11
D05,LIRO,LIRO.AOS.buoy.c2,Great Lakes,D05_LIRO_A1_P2_v1,LIRO,buoy.c2,2020_LIRO_2,2020081614,2020,2020-08-16
D06,KING,KING.AOS.S2,Prairie Peninsula,D06_KONZ_KONA_C1_P1_v2,KONZ,S2,2016_KONZ_1,2016071114,2016,2016-07-11
D06,KING,KING.AOS.S2,Prairie Peninsula,D06_KONZ_KONA_C1_P1_v2,KONZ,S2,2016_KONZ_1,2016071514,2016,2016-07-15
D06,KING,KING.AOS.S2,Prairie Peninsula,D06_KONZ_KONA_C1_P1_v2,KONZ,S2,2016_KONZ_1,2016071714,2016,2016-07-17
D06,KING,KING.AOS.S2,Prairie Peninsula,D06_KONZ_KONA_C1_P1_v2,KONZ,S2,2017_KONZ_2,2017060914,2017,2017-06-09
D06,KING,KING.AOS.S2,Prairie Peninsula,D06_KONZ_KONA_C1_P1_v2,KONZ,S2,2017_KONZ_2,2017060516,2017,2017-06-05
D06,KING,KING.AOS.S2,Prairie Peninsula,D06_KONZ_KONA_C1_P1_v2,KONZ,S2,2018_KONZ_3,2018060513,2018,2018-06-05
D06,KING,KING.AOS.S2,Prairie Peninsula,D06_KONZ_KONA_C1_P1_v2,KONZ,S2,2018_KONZ_3,2018053014,2018,2018-05-30
D06,KING,KING.AOS.S2,Prairie Peninsula,D06_KONZ_KONA_C1_P1_v2,KONZ,S2,2019_KONZ_5,2019071313,2019,2019-07-13
D06,KING,KING.AOS.S2,Prairie Peninsula,D06_KONZ_KONA_C1_P1_v2,KONZ,S2,2019_KONZ_5,2019071214,2019,2019-07-12
